species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dS,dN,dE
1539,45596,3,9.0,59,3,150,68787.90341666667,0.0,0.0,-3.0,-9.0,-57609.4861
1539,45596,4,9.0,56,3,141,11178.417316666668,0.0,0.6100000000000012,-2.0,-7.0,13914.625304875282
1539,45596,5,9.610000000000001,54,3,134,25093.04262154195,0.0,-0.6100000000000012,-3.0,-18.0,1911.2550532879832
1539,45596,6,9.0,51,3,116,27004.297674829933,0.0,0.6100000000000012,-2.0,-6.0,1044.1554501700703
1539,45596,7,9.610000000000001,49,3,110,28048.453125000004,-1.0,0.6300000000000008,5.0,8.0,4033.6315326530603
1539,261805,2,1.0,54,4,156,22503.36972222222,-1.0,0.9599999999999997,5.0,-6.0,46284.53369444444
1539,261805,3,1.9599999999999997,59,3,150,68787.90341666667,0.0,-0.2699999999999996,-3.0,-9.0,-57609.4861
1539,261805,4,1.6900000000000002,56,3,141,11178.417316666668,0.0,0.2699999999999996,-2.0,-7.0,13914.625304875282
1539,261805,5,1.9599999999999997,54,3,134,25093.04262154195,0.0,0.1425000000000003,-3.0,-18.0,1911.2550532879832
1539,261805,6,2.1025,51,3,116,27004.297674829933,0.0,0.6199999999999997,-2.0,-6.0,1044.1554501700703
1539,261805,7,2.7224999999999997,49,3,110,28048.453125000004,-1.0,0.3400000000000003,5.0,8.0,4033.6315326530603
483,1619,1,470.89,55,1,159,45818.241388888884,0.0,58.110000000000014,-1.0,-3.0,-23314.871666666662
487,45541,1,7.5625,55,2,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
487,45624,1,100.0,55,2,159,45818.241388888884,0.0,34.56,-1.0,-3.0,-23314.871666666662
487,45624,2,134.56,54,2,156,22503.36972222222,-1.0,90.44,5.0,-6.0,46284.53369444444
487,45624,3,225.0,59,1,150,68787.90341666667,0.0,64.0,-3.0,-9.0,-57609.4861
487,45624,4,289.0,56,1,141,11178.417316666668,0.0,17.25,-2.0,-7.0,13914.625304875282
487,45624,5,306.25,54,1,134,25093.04262154195,1.0,-82.74750000000003,-3.0,-18.0,1911.2550532879832
487,45624,6,223.50249999999997,51,2,116,27004.297674829933,0.0,86.25750000000008,-2.0,-6.0,1044.1554501700703
487,45624,7,309.76000000000005,49,2,110,28048.453125000004,0.0,7.079999999999984,5.0,8.0,4033.6315326530603
487,363591,6,1.2100000000000002,51,2,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
487,363591,7,1.2100000000000002,49,2,110,28048.453125000004,0.0,0.22999999999999976,5.0,8.0,4033.6315326530603
1673,298136,3,1.0,59,1,150,68787.90341666667,0.0,0.0,-3.0,-9.0,-57609.4861
1673,298136,4,1.0,56,1,141,11178.417316666668,0.0,0.2100000000000002,-2.0,-7.0,13914.625304875282
1673,298136,5,1.2100000000000002,54,1,134,25093.04262154195,0.0,0.22999999999999976,-3.0,-18.0,1911.2550532879832
1673,298136,6,1.44,51,1,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
1673,298136,7,1.44,49,1,110,28048.453125000004,0.0,0.0,5.0,8.0,4033.6315326530603
1659,45599,1,1.0,55,3,159,45818.241388888884,1.0,0.0,-1.0,-3.0,-23314.871666666662
1659,45599,2,1.0,54,4,156,22503.36972222222,0.0,3.41,5.0,-6.0,46284.53369444444
1659,45599,3,4.41,59,4,150,68787.90341666667,0.0,1.8399999999999999,-3.0,-9.0,-57609.4861
1659,45599,4,6.25,56,4,141,11178.417316666668,0.0,2.16,-2.0,-7.0,13914.625304875282
1659,45599,5,8.41,54,4,134,25093.04262154195,0.0,1.8300000000000018,-3.0,-18.0,1911.2550532879832
1659,45599,6,10.240000000000002,51,4,116,27004.297674829933,0.0,2.009999999999998,-2.0,-6.0,1044.1554501700703
1659,45599,7,12.25,49,4,110,28048.453125000004,1.0,22.560000000000002,5.0,8.0,4033.6315326530603
