species,census,n,m,S_t,N_t,E_t,dn,dm,dS,dN,dE
Brown creeper,1996,1.0,3.4635015375621987,21.0,93.0,602.1341755319905,-1.0,0.0,-2.0,-6.0,-81.22435643851725
Brown creeper,1997,0.0,3.4635015375621987,19.0,87.0,520.9098190934733,2.0,0.0,-1.0,-14.0,-129.70067374599694
Brown creeper,1998,2.0,3.4635015375621987,18.0,73.0,391.20914534747635,-2.0,0.0,-2.0,12.0,85.06387382409855
Brown creeper,1999,0.0,3.4635015375621987,16.0,85.0,476.2730191715749,2.0,0.0,2.0,5.0,3.440010963380473
Brown creeper,2000,2.0,3.4635015375621987,18.0,90.0,479.7130301349554,0.0,0.0,3.0,3.0,44.599534938248894
Brown creeper,2001,2.0,3.4635015375621987,21.0,93.0,524.3125650732043,0.0,0.0,-1.0,-21.0,-137.68102418134663
Brown creeper,2002,2.0,3.4635015375621987,20.0,72.0,386.63154089185764,-1.8,0.0,-1.0,18.0,156.1055548649574
Brown creeper,2003,0.2,3.4635015375621987,19.0,90.0,542.737095756815,0.0,0.0,3.0,-12.0,-43.556870489634775
Brown creeper,2004,0.2,3.4635015375621987,22.0,78.0,499.1802252671803,-0.2,0.0,-3.0,18.0,114.20527531547168
Brown creeper,2005,0.0,3.4635015375621987,19.0,96.0,613.385500582652,2.0,0.0,4.0,13.0,82.12066491397024
Brown creeper,2006,2.0,3.4635015375621987,23.0,109.0,695.5061654966222,-1.0,0.0,1.0,-8.0,-6.858380652262554
Brown creeper,2007,1.0,3.4635015375621987,24.0,101.0,688.6477848443596,-0.8,0.0,-2.0,-8.0,-91.34507924893
Brown creeper,2008,0.2,3.4635015375621987,22.0,93.0,597.3027055954296,-0.2,0.0,-3.0,14.0,57.366118190624775
Brown creeper,2009,0.0,3.4635015375621987,19.0,107.0,654.6688237860544,4.0,0.0,4.0,2.0,27.50681673157078
Brown creeper,2010,4.0,3.4635015375621987,23.0,109.0,682.1756405176252,-3.8,0.0,0.0,-12.0,-68.83183687628036
Brown creeper,2011,0.2,3.4635015375621987,23.0,97.0,613.3438036413448,-0.2,0.0,-2.0,9.0,65.51972751767255
Brown creeper,2012,0.0,3.4635015375621987,21.0,106.0,678.8635311590174,0.2,0.0,1.0,15.0,49.829950069092774
Brown creeper,2013,0.2,3.4635015375621987,22.0,121.0,728.6934812281102,-0.2,0.0,2.0,-7.0,-32.61267620037563
Brown creeper,2014,0.0,3.4635015375621987,24.0,114.0,696.0808050277345,2.0,0.0,0.0,1.0,130.57125964865213
Archilochus colubris,1986,0.0,1.7112726763698574,20.0,92.0,541.1675599992918,0.0,0.0,-2.0,-6.0,-52.000148766845086
Archilochus colubris,1987,0.0,1.7112726763698574,18.0,86.0,489.16741123244674,0.0,0.0,6.0,28.0,149.5887045652214
Archilochus colubris,1988,0.0,1.7112726763698574,24.0,114.0,638.7561157976681,0.0,0.0,-3.0,-12.0,-51.561296284493665
Archilochus colubris,1989,0.0,1.7112726763698574,21.0,102.0,587.1948195131745,1.0,0.0,5.0,32.0,169.76647504189418
Archilochus colubris,1990,1.0,1.7112726763698574,26.0,134.0,756.9612945550687,1.0,0.0,-1.0,-13.0,-94.83080373801465
Archilochus colubris,1991,2.0,1.7112726763698574,25.0,121.0,662.130490817054,-2.0,0.0,0.0,9.0,98.21206532250051
Archilochus colubris,1992,0.0,1.7112726763698574,25.0,130.0,760.3425561395545,0.0,0.0,-4.0,-35.0,-245.2662580152604
Archilochus colubris,1993,0.0,1.7112726763698574,21.0,95.0,515.0762981242941,0.0,0.0,0.0,-10.0,-16.42080807526878
Archilochus colubris,1994,0.0,1.7112726763698574,21.0,85.0,498.65549004902533,0.0,0.0,-2.0,-11.0,54.74896776042334
Archilochus colubris,1995,0.0,1.7112726763698574,19.0,74.0,553.4044578094487,0.0,0.0,2.0,19.0,48.729717722541864
Archilochus colubris,1996,0.0,1.7112726763698574,21.0,93.0,602.1341755319905,0.0,0.0,-2.0,-6.0,-81.22435643851725
Archilochus colubris,1997,0.0,1.7112726763698574,19.0,87.0,520.9098190934733,0.0,0.0,-1.0,-14.0,-129.70067374599694
Archilochus colubris,1998,0.0,1.7112726763698574,18.0,73.0,391.20914534747635,0.0,0.0,-2.0,12.0,85.06387382409855
Archilochus colubris,1999,0.0,1.7112726763698574,16.0,85.0,476.2730191715749,0.0,0.0,2.0,5.0,3.440010963380473
Archilochus colubris,2000,0.0,1.7112726763698574,18.0,90.0,479.7130301349554,0.0,0.0,3.0,3.0,44.599534938248894
Archilochus colubris,2001,0.0,1.7112726763698574,21.0,93.0,524.3125650732043,0.0,0.0,-1.0,-21.0,-137.68102418134663
Archilochus colubris,2002,0.0,1.7112726763698574,20.0,72.0,386.63154089185764,0.0,0.0,-1.0,18.0,156.1055548649574
Archilochus colubris,2003,0.0,1.7112726763698574,19.0,90.0,542.737095756815,0.2,0.0,3.0,-12.0,-43.556870489634775
Archilochus colubris,2004,0.2,1.7112726763698574,22.0,78.0,499.1802252671803,-0.2,0.0,-3.0,18.0,114.20527531547168
Archilochus colubris,2005,0.0,1.7112726763698574,19.0,96.0,613.385500582652,1.0,0.0,4.0,13.0,82.12066491397024
Archilochus colubris,2006,1.0,1.7112726763698574,23.0,109.0,695.5061654966222,0.0,0.0,1.0,-8.0,-6.858380652262554
Archilochus colubris,2007,1.0,1.7112726763698574,24.0,101.0,688.6477848443596,-0.8,0.0,-2.0,-8.0,-91.34507924893
Archilochus colubris,2008,0.2,1.7112726763698574,22.0,93.0,597.3027055954296,-0.2,0.0,-3.0,14.0,57.366118190624775
Archilochus colubris,2009,0.0,1.7112726763698574,19.0,107.0,654.6688237860544,1.0,0.0,4.0,2.0,27.50681673157078
Archilochus colubris,2010,1.0,1.7112726763698574,23.0,109.0,682.1756405176252,-0.8,0.0,0.0,-12.0,-68.83183687628036
Archilochus colubris,2011,0.2,1.7112726763698574,23.0,97.0,613.3438036413448,2.8,0.0,-2.0,9.0,65.51972751767255
Archilochus colubris,2012,3.0,1.7112726763698574,21.0,106.0,678.8635311590174,1.0,0.0,1.0,15.0,49.829950069092774
Archilochus colubris,2013,4.0,1.7112726763698574,22.0,121.0,728.6934812281102,-3.0,0.0,2.0,-7.0,-32.61267620037563
Archilochus colubris,2014,1.0,1.7112726763698574,24.0,114.0,696.0808050277345,2.0,0.0,0.0,1.0,130.57125964865213
Setophaga ruticilla,1986,13.0,3.4168599028691506,20.0,92.0,541.1675599992918,-2.0,0.0,-2.0,-6.0,-52.000148766845086
